2026-04-08 18:09:31.547 | INFO     | core.screen_controller:90 - 屏幕操作控制器已初始化，FAILSAFE已启用（移动到左上角可紧急停止）
2026-04-08 18:09:31.547 | WARNING  | core.log_parser:140 - 日志文件不存在：C:\Program Files (x86)\Hearthstone\Logs\Power.log，等待游戏启动...
2026-04-08 18:09:31.547 | INFO     | core.log_parser:144 - 日志监控线程已启动
2026-04-08 18:09:32.057 | INFO     | ui.overlay:100 - 悬浮窗已创建
2026-04-08 18:20:28.099 | INFO     | __main__:64 - ==================================================
2026-04-08 18:20:28.100 | INFO     | __main__:65 -   炉石传说 Bot 启动中...
2026-04-08 18:20:28.101 | INFO     | __main__:66 -   模式: 仅建议 | UI: 悬浮窗
2026-04-08 18:20:28.101 | INFO     | __main__:67 - ==================================================
2026-04-08 18:20:28.320 | WARNING  | data.cards_db:80 - 缓存读取失败: 'str' object has no attribute 'get'，尝试重新下载
2026-04-08 18:20:28.320 | INFO     | data.cards_db:93 - 下载卡牌数据库中... (https://api.hearthstonejson.com/v1/latest/zhCN/cards.json)
2026-04-08 18:20:30.342 | ERROR    | data.cards_db:109 - 下载失败: 'str' object has no attribute 'get'，降级使用内置数据库
2026-04-08 18:20:30.374 | INFO     | core.log_parser:133 - LogParser 初始化，监控路径: C:\Program Files (x86)\Hearthstone\Logs\Power.log
2026-04-08 18:20:30.374 | INFO     | core.screen_controller:90 - 屏幕操作控制器已初始化，FAILSAFE已启用（移动到左上角可紧急停止）
2026-04-08 18:20:30.374 | INFO     | __main__:295 - 使用自定义日志路径: C:\Program Files (x86)\Hearthstone\Logs\Power.log
2026-04-08 18:20:30.375 | WARNING  | core.log_parser:140 - 日志文件不存在：C:\Program Files (x86)\Hearthstone\Logs\Power.log，等待游戏启动...
2026-04-08 18:20:30.376 | INFO     | core.log_parser:144 - 日志监控线程已启动
2026-04-08 18:20:30.499 | INFO     | ui.overlay:100 - 悬浮窗已创建
